Order_ID;Size;Color;Order;Detail_Divan;Buyer_ID;Order_Date;Finish_Date;order_detail/information;Price;;;;;
98;160;Abu-Abu;Tipe2;Laci;3;2019-05-26;2019-06-02;Tipe2 Laci 160 Abu-Abu;1400000;;;;;
99;180;Abu-Abu;Tipe4;Permata;6;2019-05-29;2019-06-05;Tipe4 Permata 180 Abu-Abu;1900000;;;;;
100;160;Pink;Tipe4;Biasa;6;2019-05-29;2019-06-05;Tipe4 Biasa 160 Pink;1300000;;;;;
101;160;Merah;Tipe3;Biasa;6;2019-05-29;2019-06-05;Tipe3 Biasa 160 Merah;1200000;;;;;
102;120;Coklat;Tipe4;Biasa;6;2019-05-29;2019-06-05;Tipe4 Biasa 120 Coklat;1300000;;;;;
103;180;Pink;Tipe2;Biasa;6;2019-05-29;2019-06-05;Tipe2 Biasa 180 Pink;1100000;;;;;
104;160;Hitam;Tipe1;Biasa;5;2019-05-31;2019-06-07;Tipe1 Biasa 160 Hitam;700000;;;;;
105;140;Hitam;Tipe2;Biasa;5;2019-05-31;2019-06-07;Tipe2 Biasa 140 Hitam;1100000;;;;;
106;160;Hitam;Tipe4;Laci;5;2019-05-31;2019-06-07;Tipe4 Laci 160 Hitam;1600000;;;;;
107;160;Coklat;Tipe1;Biasa;5;2019-05-31;2019-06-07;Tipe1 Biasa 160 Coklat;700000;;;;;
108;160;Abu-Abu;Tipe4;Biasa;5;2019-05-31;2019-06-07;Tipe4 Biasa 160 Abu-Abu;1300000;;;;;
109;160;Hitam;Tipe1;Biasa;5;2019-05-31;2019-06-07;Tipe1 Biasa 160 Hitam;700000;;;;;
110;140;Hitam;Tipe4;Laci;5;2019-05-31;2019-06-07;Tipe4 Laci 140 Hitam;1600000;;;;;
111;140;Merah;Tipe4;Biasa;5;2019-05-31;2019-06-07;Tipe4 Biasa 140 Merah;1300000;;;;;
112;120;Pink;Tipe1;Permata;5;2019-05-31;2019-06-07;Tipe1 Permata 120 Pink;1300000;;;;;
113;160;Hitam;Tipe3;Biasa;5;2019-05-31;2019-06-07;Tipe3 Biasa 160 Hitam;1200000;;;;;
114;120;Hitam;Tipe4;Biasa;6;2019-06-02;2019-06-09;Tipe4 Biasa 120 Hitam;1300000;;;;;
115;140;Hitam;Tipe4;Biasa;6;2019-06-02;2019-06-09;Tipe4 Biasa 140 Hitam;1300000;;;;;
116;160;Coklat;Tipe2;Biasa;6;2019-06-02;2019-06-09;Tipe2 Biasa 160 Coklat;1100000;;;;;
117;180;Pink;Tipe3;Biasa;6;2019-06-02;2019-06-09;Tipe3 Biasa 180 Pink;1200000;;;;;
118;160;Hitam;Tipe2;Biasa;6;2019-06-02;2019-06-09;Tipe2 Biasa 160 Hitam;1100000;;;;;
119;180;Hitam;Tipe1;Biasa;6;2019-06-02;2019-06-09;Tipe1 Biasa 180 Hitam;700000;;;;;
120;140;Hitam;Tipe1;Biasa;6;2019-06-02;2019-06-09;Tipe1 Biasa 140 Hitam;700000;;;;;
121;160;Hitam;Tipe3;Laci;6;2019-06-02;2019-06-09;Tipe3 Laci 160 Hitam;1500000;;;;;
122;140;Hitam;Tipe1;Laci;6;2019-06-02;2019-06-09;Tipe1 Laci 140 Hitam;1000000;;;;;
123;120;Coklat;Tipe2;Biasa;6;2019-06-02;2019-06-09;Tipe2 Biasa 120 Coklat;1100000;;;;;
124;160;Hitam;Tipe1;Biasa;6;2019-06-02;2019-06-09;Tipe1 Biasa 160 Hitam;700000;;;;;
125;120;Merah;Tipe2;Laci;6;2019-06-02;2019-06-09;Tipe2 Laci 120 Merah;1400000;;;;;
126;140;Hitam;Tipe2;Biasa;6;2019-06-02;2019-06-09;Tipe2 Biasa 140 Hitam;1100000;;;;;
127;180;Coklat;Tipe1;Laci;6;2019-06-02;2019-06-09;Tipe1 Laci 180 Coklat;1000000;;;;;
128;120;Hitam;Tipe4;Biasa;6;2019-06-02;2019-06-09;Tipe4 Biasa 120 Hitam;1300000;;;;;
129;180;Pink;Tipe4;Biasa;1;2019-06-05;2019-06-12;Tipe4 Biasa 180 Pink;1300000;;;;;
130;120;Hitam;Tipe1;Biasa;1;2019-06-05;2019-06-12;Tipe1 Biasa 120 Hitam;700000;;;;;
131;180;Coklat;Tipe1;Biasa;1;2019-06-05;2019-06-12;Tipe1 Biasa 180 Coklat;700000;;;;;
132;180;Hitam;Tipe1;Biasa;1;2019-06-05;2019-06-12;Tipe1 Biasa 180 Hitam;700000;;;;;
133;180;Coklat;Tipe2;Biasa;1;2019-06-05;2019-06-12;Tipe2 Biasa 180 Coklat;1100000;;;;;
134;120;Merah;Tipe2;Biasa;1;2019-06-05;2019-06-12;Tipe2 Biasa 120 Merah;1100000;;;;;
135;160;Hitam;Tipe2;Biasa;1;2019-06-05;2019-06-12;Tipe2 Biasa 160 Hitam;1100000;;;;;
136;120;Hitam;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 120 Hitam;700000;;;;;
137;120;Hitam;Tipe3;Biasa;3;2019-06-07;2019-06-14;Tipe3 Biasa 120 Hitam;1200000;;;;;
138;160;Abu-Abu;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
139;180;Pink;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 180 Pink;700000;;;;;
140;160;Coklat;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 160 Coklat;700000;;;;;
141;160;Hitam;Tipe4;Biasa;3;2019-06-07;2019-06-14;Tipe4 Biasa 160 Hitam;1300000;;;;;
142;160;Hitam;Tipe4;Biasa;3;2019-06-07;2019-06-14;Tipe4 Biasa 160 Hitam;1300000;;;;;
143;180;Coklat;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 180 Coklat;700000;;;;;
144;140;Hitam;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 140 Hitam;700000;;;;;
145;120;Coklat;Tipe1;Laci;3;2019-06-07;2019-06-14;Tipe1 Laci 120 Coklat;1000000;;;;;
146;160;Abu-Abu;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
147;120;Hitam;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 120 Hitam;700000;;;;;
148;160;Coklat;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 160 Coklat;700000;;;;;
149;160;Hitam;Tipe1;Biasa;3;2019-06-07;2019-06-14;Tipe1 Biasa 160 Hitam;700000;;;;;
150;160;Abu-Abu;Tipe4;Biasa;3;2019-06-07;2019-06-14;Tipe4 Biasa 160 Abu-Abu;1300000;;;;;
151;180;Hitam;Tipe3;Laci;3;2019-06-07;2019-06-14;Tipe3 Laci 180 Hitam;1500000;;;;;
152;160;Coklat;Tipe3;Laci;1;2019-06-09;2019-06-16;Tipe3 Laci 160 Coklat;1500000;;;;;
153;120;Hitam;Tipe3;Biasa;1;2019-06-09;2019-06-16;Tipe3 Biasa 120 Hitam;1200000;;;;;
154;180;Hitam;Tipe3;Biasa;1;2019-06-09;2019-06-16;Tipe3 Biasa 180 Hitam;1200000;;;;;
155;160;Hitam;Tipe3;Laci;1;2019-06-09;2019-06-16;Tipe3 Laci 160 Hitam;1500000;;;;;
156;120;Pink;Tipe3;Laci;1;2019-06-09;2019-06-16;Tipe3 Laci 120 Pink;1500000;;;;;
157;160;Abu-Abu;Tipe2;Biasa;1;2019-06-09;2019-06-16;Tipe2 Biasa 160 Abu-Abu;1100000;;;;;
158;180;Hitam;Tipe1;Laci;1;2019-06-09;2019-06-16;Tipe1 Laci 180 Hitam;1000000;;;;;
159;120;Pink;Tipe4;Biasa;1;2019-06-09;2019-06-16;Tipe4 Biasa 120 Pink;1300000;;;;;
160;160;Merah;Tipe2;Biasa;1;2019-06-09;2019-06-16;Tipe2 Biasa 160 Merah;1100000;;;;;
161;180;Hitam;Tipe1;Biasa;1;2019-06-09;2019-06-16;Tipe1 Biasa 180 Hitam;700000;;;;;
162;140;Abu-Abu;Tipe1;Biasa;1;2019-06-09;2019-06-16;Tipe1 Biasa 140 Abu-Abu;700000;;;;;
163;180;Abu-Abu;Tipe1;Biasa;1;2019-06-09;2019-06-16;Tipe1 Biasa 180 Abu-Abu;700000;;;;;
164;120;Coklat;Tipe1;Laci;1;2019-06-09;2019-06-16;Tipe1 Laci 120 Coklat;1000000;;;;;
165;140;Abu-Abu;Tipe2;Biasa;1;2019-06-09;2019-06-16;Tipe2 Biasa 140 Abu-Abu;1100000;;;;;
166;160;Coklat;Tipe4;Biasa;1;2019-06-12;2019-06-19;Tipe4 Biasa 160 Coklat;1300000;;;;;
167;160;Hitam;Tipe3;Permata;1;2019-06-12;2019-06-19;Tipe3 Permata 160 Hitam;1800000;;;;;
168;180;Coklat;Tipe4;Biasa;1;2019-06-12;2019-06-19;Tipe4 Biasa 180 Coklat;1300000;;;;;
169;120;Coklat;Tipe1;Biasa;1;2019-06-12;2019-06-19;Tipe1 Biasa 120 Coklat;700000;;;;;
170;160;Hitam;Tipe4;Laci;1;2019-06-12;2019-06-19;Tipe4 Laci 160 Hitam;1600000;;;;;
171;120;Merah;Tipe2;Biasa;4;2019-06-14;2019-06-21;Tipe2 Biasa 120 Merah;1100000;;;;;
172;160;Abu-Abu;Tipe4;Laci;4;2019-06-14;2019-06-21;Tipe4 Laci 160 Abu-Abu;1600000;;;;;
173;160;Coklat;Tipe4;Permata;4;2019-06-14;2019-06-21;Tipe4 Permata 160 Coklat;1900000;;;;;
174;180;Hitam;Tipe3;Biasa;4;2019-06-14;2019-06-21;Tipe3 Biasa 180 Hitam;1200000;;;;;
175;160;Coklat;Tipe4;Biasa;4;2019-06-14;2019-06-21;Tipe4 Biasa 160 Coklat;1300000;;;;;
176;180;Hitam;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 180 Hitam;700000;;;;;
177;180;Coklat;Tipe1;Laci;5;2019-06-16;2019-06-23;Tipe1 Laci 180 Coklat;1000000;;;;;
178;160;Hitam;Tipe3;Biasa;5;2019-06-16;2019-06-23;Tipe3 Biasa 160 Hitam;1200000;;;;;
179;160;Abu-Abu;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
180;160;Hitam;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 160 Hitam;700000;;;;;
181;160;Hitam;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 160 Hitam;700000;;;;;
182;180;Merah;Tipe2;Biasa;5;2019-06-16;2019-06-23;Tipe2 Biasa 180 Merah;1100000;;;;;
183;120;Hitam;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 120 Hitam;700000;;;;;
184;160;Pink;Tipe1;Laci;5;2019-06-16;2019-06-23;Tipe1 Laci 160 Pink;1000000;;;;;
185;120;Abu-Abu;Tipe2;Laci;5;2019-06-16;2019-06-23;Tipe2 Laci 120 Abu-Abu;1400000;;;;;
186;140;Hitam;Tipe1;Biasa;5;2019-06-16;2019-06-23;Tipe1 Biasa 140 Hitam;700000;;;;;
187;160;Coklat;Tipe4;Laci;5;2019-06-16;2019-06-23;Tipe4 Laci 160 Coklat;1600000;;;;;
188;180;Pink;Tipe2;Biasa;5;2019-06-16;2019-06-23;Tipe2 Biasa 180 Pink;1100000;;;;;
189;160;Merah;Tipe1;Biasa;3;2019-06-19;2019-06-26;Tipe1 Biasa 160 Merah;700000;;;;;
190;180;Hitam;Tipe1;Biasa;3;2019-06-19;2019-06-26;Tipe1 Biasa 180 Hitam;700000;;;;;
191;160;Abu-Abu;Tipe1;Biasa;3;2019-06-19;2019-06-26;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
192;160;Abu-Abu;Tipe2;Biasa;3;2019-06-19;2019-06-26;Tipe2 Biasa 160 Abu-Abu;1100000;;;;;
193;120;Hitam;Tipe1;Biasa;3;2019-06-19;2019-06-26;Tipe1 Biasa 120 Hitam;700000;;;;;
194;120;Hitam;Tipe4;Biasa;3;2019-06-19;2019-06-26;Tipe4 Biasa 120 Hitam;1300000;;;;;
195;140;Coklat;Tipe4;Biasa;3;2019-06-19;2019-06-26;Tipe4 Biasa 140 Coklat;1300000;;;;;
196;160;Hitam;Tipe3;Biasa;3;2019-06-19;2019-06-26;Tipe3 Biasa 160 Hitam;1200000;;;;;
197;120;Abu-Abu;Tipe2;Biasa;3;2019-06-21;2019-06-28;Tipe2 Biasa 120 Abu-Abu;1100000;;;;;
198;160;Hitam;Tipe4;Biasa;3;2019-06-21;2019-06-28;Tipe4 Biasa 160 Hitam;1300000;;;;;
199;160;Pink;Tipe2;Biasa;3;2019-06-21;2019-06-28;Tipe2 Biasa 160 Pink;1100000;;;;;
200;160;Coklat;Tipe1;Biasa;3;2019-06-21;2019-06-28;Tipe1 Biasa 160 Coklat;700000;;;;;
201;160;Merah;Tipe2;Biasa;3;2019-06-21;2019-06-28;Tipe2 Biasa 160 Merah;1100000;;;;;
202;120;Hitam;Tipe3;Biasa;3;2019-06-21;2019-06-28;Tipe3 Biasa 120 Hitam;1200000;;;;;
203;160;Hitam;Tipe4;Biasa;3;2019-06-21;2019-06-28;Tipe4 Biasa 160 Hitam;1300000;;;;;
204;140;Hitam;Tipe4;Biasa;3;2019-06-21;2019-06-28;Tipe4 Biasa 140 Hitam;1300000;;;;;
205;160;Coklat;Tipe1;Biasa;3;2019-06-21;2019-06-28;Tipe1 Biasa 160 Coklat;700000;;;;;
206;180;Merah;Tipe4;Laci;3;2019-06-21;2019-06-28;Tipe4 Laci 180 Merah;1600000;;;;;
207;180;Hitam;Tipe3;Biasa;3;2019-06-21;2019-06-28;Tipe3 Biasa 180 Hitam;1200000;;;;;
208;160;Hitam;Tipe2;Biasa;3;2019-06-21;2019-06-28;Tipe2 Biasa 160 Hitam;1100000;;;;;
209;180;Abu-Abu;Tipe1;Biasa;3;2019-06-21;2019-06-28;Tipe1 Biasa 180 Abu-Abu;700000;;;;;
210;120;Coklat;Tipe3;Laci;6;2019-06-23;2019-06-30;Tipe3 Laci 120 Coklat;1500000;;;;;
211;120;Abu-Abu;Tipe3;Biasa;6;2019-06-23;2019-06-30;Tipe3 Biasa 120 Abu-Abu;1200000;;;;;
212;140;Abu-Abu;Tipe2;Biasa;6;2019-06-23;2019-06-30;Tipe2 Biasa 140 Abu-Abu;1100000;;;;;
213;120;Hitam;Tipe2;Biasa;6;2019-06-23;2019-06-30;Tipe2 Biasa 120 Hitam;1100000;;;;;
214;140;Coklat;Tipe1;Biasa;6;2019-06-23;2019-06-30;Tipe1 Biasa 140 Coklat;700000;;;;;
215;180;Coklat;Tipe2;Biasa;6;2019-06-23;2019-06-30;Tipe2 Biasa 180 Coklat;1100000;;;;;
216;160;Hitam;Tipe1;Biasa;6;2019-06-23;2019-06-30;Tipe1 Biasa 160 Hitam;700000;;;;;
217;120;Pink;Tipe2;Biasa;6;2019-06-23;2019-06-30;Tipe2 Biasa 120 Pink;1100000;;;;;
218;120;Merah;Tipe1;Biasa;6;2019-06-23;2019-06-30;Tipe1 Biasa 120 Merah;700000;;;;;
219;120;Hitam;Tipe4;Biasa;6;2019-06-23;2019-06-30;Tipe4 Biasa 120 Hitam;1300000;;;;;
220;160;Pink;Tipe3;Biasa;6;2019-06-23;2019-06-30;Tipe3 Biasa 160 Pink;1200000;;;;;
